# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate_est v v_c
23.26 -0.00892532 0.0035116 -0.00161077 -0.00282743 -3.90367e-05 0.138527 1.91621 2
23.28 -0.00149748 0.000631691 -0.00388754 -0.00282743 8.91949e-06 0.10232 1.91615 2
23.3 0.0136103 0.00636472 0.00248958 -0.00251327 -0.000101324 0.0923372 1.91016 2
23.32 -0.00111154 0.00620684 0.0015716 -0.00219911 0.000183669 0.127074 1.91444 2
23.34 -0.00368025 0.00372881 -0.00132184 -0.00219911 0.000612615 0.130403 1.90314 2
23.36 0.010422 0.0050508 0.000396444 -0.00219911 0.000713452 0.113726 1.90626 2
23.38 0.00322263 0.00679428 0.0019073 -0.00188496 0.000876648 0.130795 1.91083 2
23.4 -0.0018962 0.00558639 -0.000223492 -0.000942478 0.00166914 0.14699 1.90643 2
23.42 0.00432298 0.00481128 -0.00144493 -0.000314159 0.0024718 0.136558 1.90059 2
23.44 -0.000240955 0.00386142 -0.00246937 0 0.00286598 0.124334 1.91627 2
23.46 -0.00590364 0.00255061 -0.00350031 0 0.0028397 0.110918 1.91365 2
23.48 0.00129013 0.0048435 -0.000798733 0 0.00270571 0.104031 1.91197 2
23.5 0.00460395 0.00411795 -0.00162066 0.000628319 0.00284181 0.101377 1.91021 2
23.52 -0.000109284 0.0036287 -0.00225762 0.000942478 0.00306328 0.0965893 1.90072 2
23.54 0.00267275 0.00484075 -0.00121753 0.000942478 0.00323836 0.100665 1.90558 2
23.56 -0.00540689 0.00372835 -0.00248608 0.000942478 0.00332175 0.10229 1.90718 2
23.58 -0.00466476 0.000734403 -0.00505887 0.000628319 0.00308059 0.0813855 1.90886 2
23.6 0.000642716 0.00160201 -0.00330741 0.000314159 0.00250266 0.0591998 1.90379 2
23.62 0.000810821 0.00225287 -0.00233196 0.000628319 0.00211136 0.0556765 1.91846 2
23.64 -0.0045538 0.00202141 -0.00278546 0.000628319 0.00207971 0.0617426 1.92707 2
23.66 -0.000502005 0.00343817 -0.0016461 0.000628319 0.00218104 0.0704022 1.9134 2
23.68 0.000283328 0.00210552 -0.00315606 0.000314159 0.00214638 0.074707 1.91536 2
23.7 -0.00344121 0.0013646 -0.00372361 0.000314159 0.00204307 0.0631158 1.91591 2
23.72 0.00695852 0.00604169 0.000841618 0.000628319 0.00210755 0.0749949 1.91009 2
23.74 -0.00527586 0.00226815 -0.00393375 0.000942478 0.00262135 0.0919653 1.90967 2
23.76 -0.0106393 -0.00327845 -0.00927471 0.000942478 0.00271527 0.0550388 1.90401 2
23.78 0.00559417 0.00365025 -0.00134078 0.000628319 0.00219231 0.037481 1.90902 2
23.8 -0.000433324 0.00483851 -0.000713443 0.000628319 0.00210345 0.0721392 1.9244 2
23.82 -0.00650865 0.000202456 -0.00602451 0.000942478 0.00247351 0.07479 1.91264 2
23.84 0.00212376 0.00261801 -0.00306037 0.000628319 0.00231082 0.0547765 1.90485 2
23.86 0.002066 0.00719138 0.00107991 0.000628319 0.00237393 0.0872369 1.91876 2
23.88 -0.0101597 0.00156906 -0.00529465 0.000628319 0.00268282 0.0994049 1.91687 2
23.9 -0.0054344 0.000285289 -0.00612651 0.000628319 0.00266014 0.0704756 1.91634 2
23.92 0.00156854 0.00467205 -0.00124863 0.000314159 0.00231227 0.0714741 1.91964 2
23.94 -0.00372771 0.00240046 -0.00376018 0.000628319 0.00231264 0.0764334 1.93215 2
23.96 0.00309737 0.00465408 -0.00164968 0.000628319 0.00246773 0.081476 1.91958 2
23.98 -0.00318967 0.00586443 -0.00111561 0.000628319 0.00277322 0.109739 1.91962 2
24 -0.00680585 0.00167333 -0.00552636 0.000314159 0.00294168 0.105657 1.92186 2
24.02 0.00151522 0.0039354 -0.00269836 0.000628319 0.00282457 0.0874124 1.92803 2
24.04 0.000891681 0.00849927 0.00119281 0.00125664 0.00321291 0.121443 1.92094 2
24.06 -0.0106802 0.00207291 -0.00643155 0.00188496 0.00412134 0.128728 1.92569 2
24.08 0.00135353 0.00226555 -0.0057069 0.00188496 0.00433404 0.0897496 1.93637 2
24.1 0.00685024 0.00850828 0.000684388 0.00188496 0.00430151 0.10257 1.92803 2
24.12 -0.00743438 0.00461343 -0.00397634 0.00219911 0.00458869 0.125052 1.9302 2
24.14 -0.00599034 0.00124549 -0.00715041 0.00219911 0.00474666 0.0984305 1.9411 2
24.16 0.00169621 0.00456663 -0.00324289 0.00219911 0.00455595 0.0837508 1.92937 2
24.18 0.000453966 0.00662565 -0.00154228 0.00251327 0.00465297 0.105109 1.94087 2
24.2 -0.0022806 0.00608875 -0.00281449 0.00282743 0.00516875 0.120925 1.94304 2
24.22 -0.000584519 0.00731531 -0.00206026 0.00282743 0.00561344 0.13337 1.94366 2
24.24 -0.00744018 0.00438262 -0.00521378 0.00282743 0.00585345 0.13138 1.94132 2
24.26 0.0063668 0.00666127 -0.00261957 0.00314159 0.00594049 0.119647 1.94793 2
24.28 0.00405692 0.0101126 0.000328804 0.00345575 0.00631102 0.144298 1.94504 2
24.3 -0.00840553 0.00596587 -0.00478232 0.00408407 0.00702718 0.157873 1.94423 2
24.32 -0.000648219 0.00583462 -0.00474967 0.00408407 0.00737017 0.136056 1.95428 2
24.34 -0.00190923 0.00615957 -0.00413067 0.00408407 0.00731735 0.127464 1.94576 2
24.36 -0.00343991 0.00618882 -0.00409848 0.00439823 0.00735726 0.128349 1.94442 2
24.38 -0.00708323 0.00581401 -0.00473054 0.00471239 0.00760726 0.130959 1.94059 2
